PropertyName,PropertyAddress,City,State,Zip,County,CountyCode,CensusTract,CongressionalDistrict,Latitude,Longitude,TargetTenantType,S8_1_ProgramName,LIHTC_1_ProgramName
PARCEL M-GRAND AVENUE APARTMENTS,225 S Grand Ave Apt 410,Los Angeles,CA,90012-4423,Los Angeles,6037,6037207502,34,34.054302,-118.250178,,,4% Tax Credit
TEAGUE TERRACE (AKA EAGLE VISTA),4260 Eagle Rock Blvd,Los Angeles,CA,90065-4480,Los Angeles,6037,6037186201,34,34.122191,-118.223134,Elderly or disabled,,4% Tax Credit
HOLLENBECK TERRACE APARTMENTS,610 S St Louis St,Los Angeles,CA,90023-1298,Los Angeles,6037,6037204600,34,34.03824,-118.21723,Elderly or disabled,,9% Tax Credit
VILLA NUEVA,658 S Ferris Ave,Los Angeles,CA,90022-2556,Los Angeles,6037,6037531604,40,34.02431,-118.1622,,,4% Tax Credit
LAUREL VILLAGE,9700 LAUREL CANYON BLVD,Los Angeles,CA,91331,Los Angeles,6037,6037104821,29,34.245563,-118.417877,,,4% Tax Credit
BURLINGTON FAMILY APARTMENTS,415 S Burlington Ave,Los Angeles,CA,90057-3268,Los Angeles,6037,6037208904,34,34.060245,-118.269935,Elderly or disabled,,9% Tax Credit
BROADWAY VILLAS,9413 S Spring St,Los Angeles,CA,90003-4066,Los Angeles,6037,6037240500,43,33.95049,-118.27736,Elderly or disabled,,4% Tax Credit
THE BERENDOS,226 N Berendo St,Los Angeles,CA,90004-4704,Los Angeles,6037,6037211202,34,34.075302,-118.293825,Elderly or disabled,,4% Tax Credit
LDK SENIOR APARTMENTS,900 Crenshaw Blvd,Los Angeles,CA,90019-1978,Los Angeles,6037,6037212702,34,34.056101,-118.321793,Elderly or disabled,,4% Tax Credit
PALOMA TERRACE,5000 S Main St,Los Angeles,CA,90037-4549,Los Angeles,6037,6037229300,40,33.997287,-118.273786,Family,,9% Tax Credit
GATEWAY APARTMENTS,13368 BEACH AVE,Los Angeles,CA,90292,Los Angeles,6037,6037275400,37,33.991531,-118.44345,Elderly or disabled,,9% Tax Credit
THE PARK PLAZA,960 W 62nd Pl,Los Angeles,CA,90044-5474,Los Angeles,6037,6037237101,37,33.982418,-118.290773,Family,,4% Tax Credit
LAS ALTURAS,3535 Whittier Blvd,Los Angeles,CA,90023-1763,Los Angeles,6037,6037204910,34,34.026494,-118.197164,Elderly or disabled,,9% Tax Credit
BESWICK SENIOR APARTMENTS,3553 Beswick St,Los Angeles,CA,90023-3053,Los Angeles,6037,6037204920,34,34.022339,-118.199392,Elderly or disabled,,9% Tax Credit
GATEWAYS APARTMENTS,505 S San Pedro St,Los Angeles,CA,90013-2594,Los Angeles,6037,6037206300,34,34.044002,-118.244449,,,9% Tax Credit
TERRACINA APARTMENTS,1226 W Imperial Hwy,Los Angeles,CA,90044-1355,Los Angeles,6037,6037600304,43,33.930441,-118.296182,Family,,9% Tax Credit
CONCORD APARTMENTS,1801 N Alexandria Ave,Los Angeles,CA,90027-4031,Los Angeles,6037,6037189201,28,34.103645,-118.298694,Elderly or disabled,,4% Tax Credit
LOTUS GARDEN,719 Yale St,Los Angeles,CA,90012-3763,Los Angeles,6037,6037207102,34,34.061866,-118.241929,Family,,9% Tax Credit
AVALON APARTMENTS,13218 Avalon Blvd,Los Angeles,CA,90061-2360,Los Angeles,6037,6037540800,44,33.912176,-118.264276,Elderly or disabled,,9% Tax Credit
VERMONT MANZANITA,1225 S Vermont Ave,Los Angeles,CA,90006-2729,Los Angeles,6037,6037213320,34,34.04832,-118.29192,Family,,9% Tax Credit
THE WHITTIER,3555 Whittier Blvd,Los Angeles,CA,90023-1758,Los Angeles,6037,6037204910,34,34.026228,-118.19656,Family,,9% Tax Credit
PLAYA SENIOR AFFORDABLE HOUSING,12481 W Fielding Cir Apt 122,Los Angeles,CA,90094-2935,Los Angeles,6037,6037275602,43,33.978922,-118.411837,Elderly or disabled,,9% Tax Credit
SLAUSON STATION APARTMENTS,1717 E 61st St,Los Angeles,CA,90001-1400,Los Angeles,6037,6037532700,40,33.985006,-118.242804,Family,,4% Tax Credit
TAYLOR YARD APARTMENTS,1311 N San Fernando Rd,Los Angeles,CA,90065-1296,Los Angeles,6037,6037187102,34,34.093878,-118.230637,Family,,4% Tax Credit
CRENSHAW FAMILY APARTMENTS,5110 Crenshaw Blvd,Los Angeles,CA,90043-1874,Los Angeles,6037,6037234501,37,33.99621,-118.330235,Family,,9% Tax Credit
RIO VISTA APARTMENTS,1515 N San Fernando Rd,Los Angeles,CA,90065-1297,Los Angeles,6037,6037187102,34,34.099931,-118.237491,Family,,9% Tax Credit
PROFESSIONAL HOUSING DEVELOPMENT APARTMENTS,1020 S Kingsley Dr,Los Angeles,CA,90006-2476,Los Angeles,6037,6037213201,34,34.05224,-118.30302,Family,LMSA,4% and 9% Tax Credit
PRESERVATION IV,1045 W 18th St,Los Angeles,CA,90015-3356,Los Angeles,6037,6037224200,34,34.03918,-118.27943,Family,LMSA,4% Tax Credit
CAROLINE SEVERANCE MANOR,2927 Francis Ave,Los Angeles,CA,90005-1766,Los Angeles,6037,6037212202,34,34.05694,-118.28974,,,9% Tax Credit
STEVENSON MANOR,1230 Cole Ave,Los Angeles,CA,90038-1555,Los Angeles,6037,6037190802,28,34.09345,-118.32978,Elderly,Sec 8 NC,4% Tax Credit
UNIVERSITY GARDENS APARTMENTS,1250 W Jefferson Blvd,Los Angeles,CA,90007-2924,Los Angeles,6037,6037222600,37,34.02541,-118.29309,Family,PD/8 Existing,4% Tax Credit
SOUTH BAY VILLA,13111 S San Pedro St,Los Angeles,CA,90061-2760,Los Angeles,6037,6037540902,44,33.91339,-118.26994,Family,Sec 8 NC,9% Tax Credit
MISSION PLAZA,2218 Parkside Ave,Los Angeles,CA,90031-2935,Los Angeles,6037,6037199120,34,34.070753,-118.200022,Family,Preservation,9% Tax Credit
LA PRO APARTMENTS,249 N Juanita Ave,Los Angeles,CA,90004,Los Angeles,6037,6037211122,34,34.07537,-118.29052,,,4% Tax Credit
ST ANDREWS ARMS,1511 S St Andrews Pl,Los Angeles,CA,90019-4851,Los Angeles,6037,6037221304,34,34.04517,-118.31167,Family,Preservation,9% Tax Credit
CASA DE LAS HERMANITAS,2801 E 2nd St,Los Angeles,CA,90033-4144,Los Angeles,6037,6037204300,34,34.04008,-118.20589,Elderly,HFDA/8 NC,4% Tax Credit
IMPERIAL HIGHWAY APARTMENTS,1746 E 117th St,Los Angeles,CA,90059-2556,Los Angeles,6037,6037540700,44,33.929784,-118.244403,Family,PD/8 SR,4% Tax Credit
WASHINGTON COURT APARTMENTS,1717 E 103rd St,Los Angeles,CA,90002-2931,Los Angeles,6037,6037242200,44,33.94399,-118.24201,Family,LMSA,4% Tax Credit
TRES LOMAS APARTMENTS,4343 Toland Way,Los Angeles,CA,90041-3455,Los Angeles,6037,6037186201,34,34.12217,-118.2213,Elderly,Sec 8 NC,4% Tax Credit
CURTIS JOHNSON APARTMENTS,897 W Vernon Ave,Los Angeles,CA,90037-3037,Los Angeles,6037,6037231710,37,34.00397,-118.289007,Family,LMSA,4% Tax Credit
SONYA GARDENS,8621 Denver Ave,Los Angeles,CA,90044-5751,Los Angeles,6037,6037240300,43,33.95973,-118.28396,Family,LMSA,9% Tax Credit
DELTA APARTMENTS,825 Forest Ave,Los Angeles,CA,90033-2601,Los Angeles,6037,6037203710,34,34.04962,-118.1988,Family,LMSA,4% Tax Credit
ARGYLE APARTMENTS,1600 N Western Ave,Los Angeles,CA,90027-4831,Los Angeles,6037,6037190510,28,34.100012,-118.308828,Family,,9% Tax Credit
RIO VISTA VILLAGE LIMITED PARTNERSHIP,1310 Rio Vista Ave,Los Angeles,CA,90023-2692,Los Angeles,6037,6037206050,34,34.0263,-118.22182,Family,Pension Fund,9% Tax Credit
PRESERVATION III,6427 S Hoover St,Los Angeles,CA,90044-5355,Los Angeles,6037,6037237500,37,33.98049,-118.28732,Family,LMSA,4% Tax Credit
5400 HOLLYWOOD FAMILY APARTMENTS,5400 Hollywood Blvd,Los Angeles,CA,90027-3406,Los Angeles,6037,6037190510,28,34.101341,-118.307329,Elderly or disabled,,9% Tax Credit
PANAMA HOTEL APARTMENTS,403 E 5th St,Los Angeles,CA,90013-1507,Los Angeles,6037,6037206200,34,34.044874,-118.244596,,,9% Tax Credit
SELMA COMMUNITY HOUSING,1605 N Cherokee Ave,Los Angeles,CA,90028-6234,Los Angeles,6037,6037190700,28,34.099897,-118.335317,Family,,9% Tax Credit
