PropertyName,PropertyAddress,City,State,Zip,County,CountyCode,CensusTract,CongressionalDistrict,Latitude,Longitude,TargetTenantType,S8_1_ProgramName,LIHTC_1_ProgramName
SIMPSON VILLAS,6927 Simpson Ave,Los Angeles,CA,91605-6139,Los Angeles,6037,6037123203,29,34.19674,-118.38925,Family,Sec 8 NC,
VINELAND AVENUE SENIOR HOUSING,4900 Vineland Ave,Los Angeles,CA,91601-6511,Los Angeles,6037,6037125401,29,34.159466,-118.369952,Elderly,PRAC/202,4% Tax Credit
LAS CASITAS II,6923 Morella Ave,Los Angeles,CA,91605-6071,Los Angeles,6037,6037123203,29,34.196494,-118.390324,Family,HFDA/8 NC,
NOHO SENIOR VILLAS,5539 Klump Ave,Los Angeles,CA,91601,Los Angeles,6037,6037125310,29,34.17105,-118.37521,Elderly or disabled,,4% Tax Credit
DENNY PLACE & WILLOW WOOD APARTMENTS,5620 Denny Ave,Los Angeles,CA,91601-2102,Los Angeles,6037,6037124300,29,34.172917,-118.364527,,,4% Tax Credit
PLUMMER PARK APARTMENTS,17051 Plummer St,Los Angeles,CA,91325-2540,Los Angeles,6037,6037115101,30,34.2431,-118.50435,Elderly,Sec 8 NC,
PARTHENIA ST SENIOR HOUSING,19455 Parthenia St,Los Angeles,CA,91324-6700,Los Angeles,6037,6037113401,30,34.22831,-118.55695,Elderly,PRAC/202,
WHITE OAK GROUP HOME,9205 White Oak Ave,Los Angeles,CA,91325-2335,Los Angeles,6037,6037115104,30,34.237614,-118.52047,Disabled,PRAC/811,
DISCOVERING HORIZON,8903 Balboa Blvd,Los Angeles,CA,91325-2608,Los Angeles,6037,6037115101,30,34.23519,-118.50262,Disabled,PRAC/811,
OSCAR HOUSE GROUP HOME,18509 San Fernando Mission Blvd,Los Angeles,CA,91326-2434,Los Angeles,6037,6037111206,30,34.27186,-118.53651,Disabled,PRAC/811,
NORTHRIDGE PARK,9628 Reseda Blvd,Los Angeles,CA,91324-2057,Los Angeles,6037,6037115201,30,34.24545,-118.53599,Elderly,Sec 8 NC,
VISTA DEL SOL,7843 Encino Ave,Los Angeles,CA,91325-4335,Los Angeles,6037,6037131200,30,34.213322,-118.514403,Disabled,PRAC/811,
ASHWOOD COURT,19201 Nordhoff St,Los Angeles,CA,91324-3685,Los Angeles,6037,6037115301,30,34.23557,-118.55037,Family,,9% Tax Credit
SOPHIA RIDGE APARTMENTS,9601 Reseda Blvd,Los Angeles,CA,91324-2319,Los Angeles,6037,6037115201,30,34.24496,-118.53618,,,4% Tax Credit
RIDGDECROFT APARTMENTS,9555 Reseda Blvd,Los Angeles,CA,91324-2367,Los Angeles,6037,6037115201,30,34.24403,-118.53617,Family,,4% Tax Credit
WHITE OAK-LASSEN APARTMENTS,9907 White Oak Ave,Los Angeles,CA,91325-4800,Los Angeles,6037,6037111302,30,34.25049,-118.51993,Family,,9% Tax Credit
BALBOA PLACE APARTMENTS,16915 Napa St,Los Angeles,CA,91343-5641,Los Angeles,6037,6037117302,30,34.22676,-118.5015,,,4% Tax Credit
HEADWAY HOUSE,8500 Shirley Ave,Los Angeles,CA,91324-4149,Los Angeles,6037,6037113401,30,34.224789,-118.557606,Disabled,PRAC/811,
VISTA HOMES,9530 Donna Ave,Los Angeles,CA,91324-1815,Los Angeles,6037,6037115301,30,34.24384,-118.54739,Disabled,PRAC/811,
PLEDGERVILLE SENIOR CITIZENS VILLA,11060 Norris Ave,Los Angeles,CA,91331-2403,Los Angeles,6037,6037104320,29,34.27099,-118.41673,Elderly,202/8 NC,
TELACU LAS FLORES,12793 Mercer St,Los Angeles,CA,91331-1383,Los Angeles,6037,6037104203,29,34.276537,-118.412356,Elderly,PRAC/202,
VAN NUYS PIERCE PARK APARTMENTS,12700 Van Nuys Blvd,Los Angeles,CA,91331-1603,Los Angeles,6037,6037104105,29,34.27599,-118.40836,Family,PD/8 SR,4% Tax Credit
HILLVIEW VILLAGE,12408 Van Nuys Blvd,Los Angeles,CA,91331-1313,Los Angeles,6037,6037104105,29,34.27961,-118.40339,,,9% Tax Credit
OSBORNE GARDENS APARTMENTS,12360 Osborne St,Los Angeles,CA,91331-2163,Los Angeles,6037,6037104704,29,34.26125,-118.40247,Family,,4% Tax Credit
LAKEVIEW TERRACE,12500 Filmore St,Los Angeles,CA,91331-1221,Los Angeles,6037,6037104204,29,34.282605,-118.404969,Family,LMSA,4% Tax Credit
OSBORNE PLACE APARTMENTS,12232 Osborne Pl,Los Angeles,CA,91331-2176,Los Angeles,6037,6037104703,29,34.260383,-118.399339,,,9% Tax Credit
PARTHENIA MANOR,14920 Parthenia St,Los Angeles,CA,91402-2731,Los Angeles,6037,6037120107,29,34.22803,-118.45781,Elderly,Preservation,
VILLAGE ACQUISITION,8033 Matilija Ave,Los Angeles,CA,91402-6126,Los Angeles,6037,6037120400,29,34.217188,-118.433142,Disabled,202/8 SR,
RIDGEVIEW MANOR,14610 Gledhill St,Los Angeles,CA,91402,Los Angeles,6037,6037119320,29,34.241059,-118.450985,Disabled,202/8 NC,
PANORAMA CITY I,14424 Plummer St,Los Angeles,CA,91402-1185,Los Angeles,6037,6037119342,29,34.24255,-118.44702,Family,Sec 8 NC,
CASA PANORAMA TOWER,14555 Osborne St,Los Angeles,CA,91402-1820,Los Angeles,6037,6037120105,29,34.23322,-118.44927,Elderly,HFDA/8 NC,
CEDROS RAYEN APARTMENTS,9009 Cedros Ave,Los Angeles,CA,91402-1663,Los Angeles,6037,6037120108,29,34.23378,-118.45363,Family,Sec 8 NC,
REGENCY 50,14540 Blythe St,Los Angeles,CA,91402-6028,Los Angeles,6037,6037120030,29,34.21513,-118.44957,Family,,9% Tax Credit
PARTHENIA COURT,14825 Parthenia St,Los Angeles,CA,91402,Los Angeles,6037,6037120108,29,34.2282,-118.45622,Family,,9% Tax Credit
HERITAGE PARK ON WOODMAN,7840 Woodman Ave,Los Angeles,CA,91402-6243,Los Angeles,6037,6037120400,29,34.21312,-118.43088,Elderly or disabled,,4% Tax Credit
ASTURIAS SENIOR APARTMENTS,9628 Van Nuys Blvd,Los Angeles,CA,91402-1047,Los Angeles,6037,6037119310,29,34.24526,-118.4501,Elderly or disabled,,9% Tax Credit
CANTABRIA SENIOR APARTMENTS,9640 Van Nuys Blvd,Los Angeles,CA,91402-6789,Los Angeles,6037,6037119310,29,34.24565,-118.44988,Elderly or disabled,,9% Tax Credit
BLYTHE STREET APARTMENTS,14607 Blythe St,Los Angeles,CA,91402-6863,Los Angeles,6037,6037120030,29,34.21511,-118.45421,Family,,9% Tax Credit
ANDALUCIA SENIOR APARTMENTS,8101 Sepulveda Blvd,Los Angeles,CA,91402-4304,Los Angeles,6037,6037127520,29,34.21792,-118.46637,Elderly or disabled,,9% Tax Credit
WILLIS AVENUE APARTMENTS,14731 Rayen St,Los Angeles,CA,91402-1605,Los Angeles,6037,6037120108,29,34.232054,-118.454815,,,9% Tax Credit
TOBIAS TERRACE APARTMENTS,9247 Van Nuys Blvd,Los Angeles,CA,91402-1846,Los Angeles,6037,6037119320,29,34.238669,-118.450678,Family,,9% Tax Credit
MONTECITO TERRACES,14655 Blythe St,Los Angeles,CA,91402-5998,Los Angeles,6037,6037120030,29,34.215701,-118.452763,Elderly or disabled,,9% Tax Credit
PANORAMA VIEW APARTMENTS,9248 Van Nuys Blvd,Los Angeles,CA,91402-1416,Los Angeles,6037,6037119341,29,34.238263,-118.449626,Elderly,LMSA,9% Tax Credit
FIESTA HOUSE SENIOR APARTMENTS,6639 Darby Ave,Los Angeles,CA,91335-0901,Los Angeles,6037,6037132700,30,34.191378,-118.534111,Elderly,PRAC/202,
SHERMAN WAY BILTMORE,17930 Sherman Way,Los Angeles,CA,91335-4732,Los Angeles,6037,6037132300,30,34.20092,-118.52404,Family,Preservation,
SHERMAN PARK APARTMENTS,17960 Sherman Way,Los Angeles,CA,91335-4722,Los Angeles,6037,6037132300,30,34.20092,-118.52452,Elderly,Preservation,
KITTRIDGE GARDENS II,6540 Wilbur Ave,Los Angeles,CA,91335-5927,Los Angeles,6037,6037132502,30,34.18966,-118.54466,Family,Preservation,
SHERMAN ARMS APARTMENTS,17760 Sherman Way,Los Angeles,CA,91335-3361,Los Angeles,6037,6037132300,30,34.200135,-118.520768,Elderly,Sec 8 NC,
TLC HOMES I,7937 Lindley Ave,Los Angeles,CA,91335-2122,Los Angeles,6037,6037131400,30,34.21432,-118.52742,Disabled,202/8 NC,
RESEDA MANOR,7725 Reseda Blvd,Los Angeles,CA,91335-2864,Los Angeles,6037,6037131010,30,34.21064,-118.53615,Elderly,HFDA/8 NC,
RESEDA PARK APARTMENTS,6505 Reseda Blvd,Los Angeles,CA,91335-6123,Los Angeles,6037,6037133100,30,34.18841,-118.53611,Elderly,LMSA,
RESEDA EAST,18450 Ingomar St,Los Angeles,CA,91335-2001,Los Angeles,6037,6037131400,30,34.21192,-118.53467,Elderly,HFDA/8 NC,
MENORAH HOUSE,19206 Sherman Way,Los Angeles,CA,91335-3701,Los Angeles,6037,6037132501,30,34.20089,-118.55147,Elderly,Sec 8 NC,
NEW VISIONS,7927 Lindley Ave,Los Angeles,CA,91335-2122,Los Angeles,6037,6037131400,30,34.21432,-118.52742,Disabled,PRAC/811,
VALVERDE,7600 Vanalden Ave,Los Angeles,CA,91335-1752,Los Angeles,6037,6037131600,30,34.20938,-118.54907,Disabled,202/8 NC,
KITTRIDGE GARDENS I,6640 Wilbur Ave,Los Angeles,CA,91335-5153,Los Angeles,6037,6037132502,30,34.19097,-118.54467,Family,Preservation,
KITTRIDGE PARK VILLA,18303 Kittridge St,Los Angeles,CA,91335-6137,Los Angeles,6037,6037132700,30,34.19031,-118.53171,,,4% Tax Credit
RESEDA VILLAGE,7939 Reseda Blvd,Los Angeles,CA,91335-1969,Los Angeles,6037,6037131010,30,34.214943,-118.536831,Family,,9% Tax Credit
SHERMAN VILLAGE APARTMENTS,18900 Sherman Way,Los Angeles,CA,91335-2603,Los Angeles,6037,6037132501,30,34.200677,-118.545063,Family,,9% Tax Credit
CANBY WOODS,7248 Canby Ave,Los Angeles,CA,91335,Los Angeles,6037,6037131800,30,34.2019,-118.53481,Elderly or disabled,,4% Tax Credit
CORAL WOOD COURT APARTMENTS,8039 Reseda Blvd,Los Angeles,CA,91335-1373,Los Angeles,6037,6037131010,30,34.21675,-118.53686,Family,,4% Tax Credit
RIVERWALK AT RESEDA,18425 Kittridge St,Los Angeles,CA,91335-6232,Los Angeles,6037,6037132700,30,34.190666,-118.534409,Family,,9% Tax Credit
NEW HORIZONS I,15756 Parthenia St,Los Angeles,CA,91343-7609,Los Angeles,6037,6037117404,29,34.22823,-118.47545,Disabled,202/8 NC,
NEW HORIZONS II,15746 Parthenia St,Los Angeles,CA,91343-7610,Los Angeles,6037,6037117404,29,34.227952,-118.475819,Disabled,202/8 NC,
NEW HORIZONS III,15713 Parthenia St,Los Angeles,CA,91343-7606,Los Angeles,6037,6037117404,29,34.22875,-118.474654,Disabled,202/8 NC,
WEST VALLEY TLC,8808 Woodley Ave,Los Angeles,CA,91343-4732,Los Angeles,6037,6037117404,29,34.230459,-118.484746,Disabled,202/8 SR,
NEW OPPORTUNITIES FOR LIVING,16102 Acre St,Los Angeles,CA,91343-4824,Los Angeles,6037,6037117404,29,34.23009,-118.48265,Disabled,PRAC/811,
DICKENS SENIOR HOUSING,14559 Dickens St,Los Angeles,CA,91403,Los Angeles,6037,6037141304,30,34.15027,-118.45017,Elderly,PRAC/202,
4334-4346 MATILIJA APARTMENTS,4334 Matilija Ave,Los Angeles,CA,91423-3660,Los Angeles,6037,6037141102,30,34.14953,-118.43361,,,4% Tax Credit
WILLS PARK SOUTH,4553 Willis Ave,Los Angeles,CA,91403-2791,Los Angeles,6037,6037141303,30,34.15353,-118.45532,Family,,4% Tax Credit
WILLIS PARK WEST,4573 Willis Ave,Los Angeles,CA,91403-2799,Los Angeles,6037,6037141303,30,34.15414,-118.45533,Family,,4% Tax Credit
NATICK APARTMENTS,4701 Natick Ave,Los Angeles,CA,91403-2742,Los Angeles,6037,6037141303,30,34.15585,-118.45424,,,4% Tax Credit
SHERMAN OAKS GARDENS & VILLAS,5415 Sepulveda Blvd,Los Angeles,CA,91411-3479,Los Angeles,6037,6037128801,30,34.16899,-118.46625,Family,,4% Tax Credit
ORANGEWOOD COURT APARTMENTS,5050 Sepulveda Blvd,Los Angeles,CA,91403-1546,Los Angeles,6037,6037128910,30,34.16213,-118.46606,Family,,4% Tax Credit
NEW YORKER APARTMENTS,13951 Moorpark St,Los Angeles,CA,91423-3453,Los Angeles,6037,6037141201,30,34.15069,-118.43726,,,4% Tax Credit
VISTA DEL MONTE APARTMENTS,4621 Vista del Monte Ave,Los Angeles,CA,91403-2985,Los Angeles,6037,6037141304,30,34.15495,-118.44994,,,4% Tax Credit
DICKENS COURT,14955 Dickens St,Los Angeles,CA,91403-3461,Los Angeles,6037,6037141302,30,34.15147,-118.45907,Family,,4% Tax Credit
NOBLE SENIOR HOUSING,15100 Moorpark St,Los Angeles,CA,91403-5472,Los Angeles,6037,6037141302,30,34.15391,-118.46182,Elderly or disabled,,9% Tax Credit
PENDLETON ARMS,8400 Laurel Canyon Blvd,Los Angeles,CA,91352-3863,Los Angeles,6037,6037121010,29,34.22328,-118.39642,Family,Sec 8 NC,
SUNLAND PARK APARTMENTS,10836 Roycroft St,Los Angeles,CA,91352-1652,Los Angeles,6037,6037102107,28,34.23909,-118.3672,Family,Preservation,
STRATHERN COURT,11100 Strathern St,Los Angeles,CA,91352-3931,Los Angeles,6037,6037122121,29,34.2156,-118.37253,Family,Sec 8 NC,
VILLA DEL SOL APARTMENTS,11971 Allegheny St,Los Angeles,CA,91352-1837,Los Angeles,6037,6037121222,29,34.23667,-118.39384,Family,,4% Tax Credit
VINELAND PLACE,7843 Vineland Ave,Los Angeles,CA,91352-4555,Los Angeles,6037,6037122120,29,34.21284,-118.37042,Family,,9% Tax Credit
GLENOAKS GARDENS,8925 Glenoaks Blvd,Los Angeles,CA,91352-2002,Los Angeles,6037,6037121102,28,34.230833,-118.368043,,,9% Tax Credit
PALM VILLAGE SENIOR APARTMENTS,9050 Laurel Canyon Blvd,Los Angeles,CA,91352-1600,Los Angeles,6037,6037121210,29,34.23398,-118.40574,Elderly,PRAC/202,
BURNS MANOR,8155 Foothill Blvd,Los Angeles,CA,91040-2967,Los Angeles,6037,6037103102,28,34.25975,-118.31071,Elderly,202/8 NC,4% Tax Credit
GLENOAKS TOWNHOMES,14300 Foothill Blvd,Los Angeles,CA,91342-7501,Los Angeles,6037,6037106405,29,34.31922,-118.44566,Family,Sec 8 NC,
ASTORIA GARDENS,13997 Astoria St,Los Angeles,CA,91342-2963,Los Angeles,6037,6037106408,29,34.312166,-118.438194,Family,LMSA,
OLIVE MANOR,13155 BROMONT AVE,Los Angeles,CA,91342,Los Angeles,6037,6037106407,29,34.309658,-118.436645,Elderly,PRAC/202,
RANCH HOUSE GROUP HOME,13655 Woodcock Ave,Los Angeles,CA,91342-1146,Los Angeles,6037,6037106510,29,34.31872,-118.47378,Disabled,PRAC/811,
VALLEY VILLAGE HARDING,12920 Altano St,Los Angeles,CA,91342,Los Angeles,6037,6037106112,29,34.30563,-118.41439,Disabled,PRAC/811,
ASTORIA HOUSE,14185 Astoria St,Los Angeles,CA,91342-4250,Los Angeles,6037,6037106403,29,34.308702,-118.442459,Disabled,PRAC/811,
SILVERCREST LAKE VIEW TERRACE,11850 Foothill Blvd,Los Angeles,CA,91342-0835,Los Angeles,6037,6037104108,29,34.274154,-118.394879,Elderly,PRAC/202,
CASA OLIVO,14109 Hubbard St,Los Angeles,CA,91342-4713,Los Angeles,6037,6037107010,29,34.29794,-118.44107,Disabled,202/8 NC,
VALLEY VILLAGE #2,12769 Gladstone Ave,Los Angeles,CA,91342-4839,Los Angeles,6037,6037106113,29,34.3019,-118.41845,Disabled,202/8 SR,
VALLEY VILLAGE #3,13450 Bradley Ave,Los Angeles,CA,91342-7604,Los Angeles,6037,6037106510,29,34.31654,-118.47437,Disabled,202/8 SR,
CASA VALLE,14440 Bledsoe St,Los Angeles,CA,91342,Los Angeles,6037,6037106405,29,34.3202,-118.44847,Disabled,202/8 NC,
VALLEY COMMITTEE HOUSE,13290 Bradley Ave,Los Angeles,CA,91342-1203,Los Angeles,6037,6037106520,29,34.313019,-118.469064,Disabled,202/8 NC,
ASTORIA PLACE TOWNHOMES,13230 Bromont Ave,Los Angeles,CA,91342-4320,Los Angeles,6037,6037106407,29,34.31097,-118.43791,Family,,9% Tax Credit
MOUNTAIN VIEW MANOR APARTMENTS,12960 Dronfield Ave,Los Angeles,CA,91342-4311,Los Angeles,6037,6037106114,29,34.30579,-118.43443,Elderly or disabled,,4% Tax Credit
WILLOW TREE VILLAGES,12000 Foothill Blvd,Los Angeles,CA,91342-8217,Los Angeles,6037,6037104108,29,34.27634,-118.39717,Family,,9% Tax Credit
EL DORADO FAMILY APARTMENTS,12129 El Dorado Ave,Los Angeles,CA,91342-5232,Los Angeles,6037,6037106648,29,34.28954,-118.45088,Family,,9% Tax Credit
BONITA RANCH APARTMENTS,14164 Foothill Blvd,Los Angeles,CA,91342-8016,Los Angeles,6037,6037106405,29,34.316897,-118.442504,Family,Sec 8 NC,
OAKRIDGE FAMILY HOMES,15455 Glenoaks Blvd,Los Angeles,CA,91342,Los Angeles,6037,6037106406,29,34.32338,-118.46942,Family,,4% Tax Credit
SEVEN PALMS APARTMENTS,12831 San Fernando Rd,Los Angeles,CA,91342-7810,Los Angeles,6037,6037106604,29,34.302668,-118.464451,,,4% Tax Credit
FOOTHILL TERRACE,13751 Hubbard St,Los Angeles,CA,91342-4315,Los Angeles,6037,6037106114,29,34.30544,-118.43266,Family,Sec 8 NC,4% and 9% Tax Credit
APPERSON STREET APARTMENTS,7412 Apperson St,Los Angeles,CA,91042-1826,Los Angeles,6037,6037101210,28,34.255773,-118.293522,Family,Sec 8 NC,
FOOTHILL GARDENS,7687 Foothill Blvd,Los Angeles,CA,91042-2146,Los Angeles,6037,6037101110,28,34.25667,-118.29959,Elderly,Sec 8 NC,
TUJUNGA GARDENS,6643 Foothill Blvd,Los Angeles,CA,91042-2739,Los Angeles,6037,6037101220,28,34.2468,-118.27678,Elderly,Sec 8 NC,
DAY STREET APARTMENTS,7639 Day St,Los Angeles,CA,91042-2594,Los Angeles,6037,6037101400,28,34.254945,-118.299486,,,9% Tax Credit
VALLEY VILLAGE APARTMENTS,12111 Chandler Blvd,Los Angeles,CA,91607-4356,Los Angeles,6037,6037124902,30,34.16896,-118.39733,Elderly or disabled,,9% Tax Credit
WOODMAN MANOR APARTMENTS,6712 Woodman Ave,Los Angeles,CA,91401-1033,Los Angeles,6037,6037123510,29,34.19257,-118.43116,Elderly,Sec 8 NC,
HFL VAN NUYS,13457 Vanowen St,Los Angeles,CA,91405-4385,Los Angeles,6037,6037123510,29,34.19428,-118.426454,Disabled,PAC/811,
FICKETT TOWERS,14801 Sherman Way,Los Angeles,CA,91405-2229,Los Angeles,6037,6037127220,29,34.20127,-118.45153,Elderly,LMSA,4% Tax Credit
WEST VALLEY TOWERS,14650 Sherman Way,Los Angeles,CA,91405-2245,Los Angeles,6037,6037127803,29,34.2011,-118.45035,Elderly,202/8 NC,4% Tax Credit
DORIS FOSTER,14807 Friar St,Los Angeles,CA,91411,Los Angeles,6037,6037128302,29,34.18575,-118.45629,Disabled,202/8 NC,
HFL VANOWEN APARTMENTS,14419 Vanowen St,Los Angeles,CA,91405-4059,Los Angeles,6037,6037127910,29,34.19401,-118.44694,Disabled,PRAC/811,
VILLA VALLEY APARTMENTS,15950 Sherman Way,Los Angeles,CA,91406-4046,Los Angeles,6037,6037127604,29,34.200359,-118.48093,Elderly,HFDA/8 NC,
VPH ADULT RETIREMENT CENTER,15211 Sherman Way,Los Angeles,CA,91405-2048,Los Angeles,6037,6037127210,29,34.20115,-118.46521,Elderly,202/8 NC,4% Tax Credit
OXNARD VILLA,14045 Oxnard St,Los Angeles,CA,91401-3860,Los Angeles,6037,6037128601,29,34.17948,-118.43911,Family,,9% Tax Credit
HAZELTINE & WYANDOTTE APARTMENTS,7250 Hazeltine Ave,Los Angeles,CA,91405-5634,Los Angeles,6037,6037127104,29,34.20211,-118.4399,Family,,9% Tax Credit
WYANDOTTE APARTMENTS,14630 Wyandotte St,Los Angeles,CA,91405-1974,Los Angeles,6037,6037127220,29,34.20292,-118.45149,Family,,9% Tax Credit
PAZ VILLAS,14643 Blythe St,Los Angeles,CA,91402-5947,Los Angeles,6037,6037120030,29,34.21531,-118.45017,Family,,9% Tax Credit
OAK TREE VILLAGE,15231 Sherman Way,Los Angeles,CA,91405-6313,Los Angeles,6037,6037127210,29,34.20115,-118.46543,Family,,9% Tax Credit
ANGELS CITY LIGHTS,13915 Oxnard St,Los Angeles,CA,91401-3885,Los Angeles,6037,6037128601,29,34.17948,-118.43601,Family,,9% Tax Credit
VICTORY GARDENS,13436 Victory Blvd,Los Angeles,CA,91401-1866,Los Angeles,6037,6037123602,29,34.18657,-118.42576,,,9% Tax Credit
CORNERSTONE APARTMENTS,14128 Calvert St,Los Angeles,CA,91401-3473,Los Angeles,6037,6037128210,29,34.18157,-118.4406,,,9% Tax Credit
SATICOY GARDENS,14649 Saticoy St,Los Angeles,CA,91405-1243,Los Angeles,6037,6037127210,29,34.20854,-118.45234,Family,,4% Tax Credit
SHERMAN WAY SENIOR HSG,15864 Sherman Way,Los Angeles,CA,91406-4078,Los Angeles,6037,6037127400,29,34.20096,-118.47853,Elderly,202/8 NC,
PARK PLACE APARTMENTS,7970 Woodman Ave,Los Angeles,CA,91402-6316,Los Angeles,6037,6037120400,29,34.21579,-118.43088,,,4% Tax Credit
HFL SEQUOIA APARTMENTS,14402 Hamlin St,Los Angeles,CA,91401-1431,Los Angeles,6037,6037128102,29,34.188351,-118.446802,Disabled,PRAC/811,9% Tax Credit
IVY TERRACE,13751 Sherman Way,Los Angeles,CA,91405-2679,Los Angeles,6037,6037127104,29,34.201997,-118.432802,Family,,4% Tax Credit
LA CORUNA SENIOR APARTMENTS,15301 Lanark St,Los Angeles,CA,91406-1432,Los Angeles,6037,6037127520,29,34.218244,-118.466945,Elderly or disabled,,4% Tax Credit
ONE VENICE,1 N Venice Blvd,Los Angeles,CA,90291-4177,Los Angeles,6037,6037273502,33,33.98447,-118.47133,Elderly,Sec 8 NC,
ADDA & PAUL SAFRAN SENIOR HOUSING,151 Ocean Front Walk,Los Angeles,CA,90291-2441,Los Angeles,6037,6037273402,33,33.99564,-118.48145,Elderly,PRAC/202,
NEW VENICE 1B,645 Indiana Ave,Los Angeles,CA,90291-3094,Los Angeles,6037,6037273200,33,33.99682,-118.46831,,LMSA,
NEW VENICE 2B,410 Indiana Ave,Los Angeles,CA,90291-3082,Los Angeles,6037,6037273300,33,33.99448,-118.47197,,LMSA,
BREEZES DEL MAR 1A-1D,535 Santa Clara Ave,Los Angeles,CA,90291-3759,Los Angeles,6037,6037273300,33,33.992146,-118.467624,Family,LMSA,
NEW VENICE 1D,534 Indiana Ave,Los Angeles,CA,90291-3074,Los Angeles,6037,6037273300,33,33.99542,-118.47019,,LMSA,
BREEZES DEL MAR 2A-2D,673 Santa Clara Ave,Los Angeles,CA,90291,Los Angeles,6037,6037273200,33,33.99309,-118.46545,Family,LMSA,
NEW VENICE 3C,1408 Linden Ave,Los Angeles,CA,90291-3875,Los Angeles,6037,6037273600,33,33.99636,-118.46171,,LMSA,
NEW VENICE 2D,919 5th Ave,Los Angeles,CA,90291-3068,Los Angeles,6037,6037273300,33,33.99385,-118.47063,,LMSA,
NEW VENICE 2C,1002 5th Ave,Los Angeles,CA,90291-3381,Los Angeles,6037,6037273300,33,33.99347,-118.47012,,LMSA,
BREEZES DEL MAR 3A-3C,517 Indiana Ave,Los Angeles,CA,90291-5402,Los Angeles,6037,6037273300,33,33.9954,-118.47099,Family,LMSA,
BREEZES DEL MAR 4A-4C,353 Rennie Ave,Los Angeles,CA,90291-2671,Los Angeles,6037,6037273300,33,33.99761,-118.47234,Family,LMSA,
NEW VENICE 4B,915 7th Ave,Los Angeles,CA,90291-3096,Los Angeles,6037,6037273200,33,33.99635,-118.46593,,LMSA,
NEW VENICE 4C,610 6th Ave,Los Angeles,CA,90291-2652,Los Angeles,6037,6037273300,33,33.99744,-118.47,,LMSA,
NEW VENICE 1C,509 Sunset Ave,Los Angeles,CA,90291-2683,Los Angeles,6037,6037273300,33,33.99668,-118.47234,,LMSA,
NEW VENICE 3B,664 Brooks Ave,Los Angeles,CA,90291-3093,Los Angeles,6037,6037273200,33,33.9962,-118.46707,,LMSA,
NAVY BLUE APARTMENTS,102 Navy St,Los Angeles,CA,90291-2584,Los Angeles,6037,6037273402,33,33.9969,-118.47938,,,9% Tax Credit
TABOR COURTS,345 4th Ave,Los Angeles,CA,90291-8657,Los Angeles,6037,6037273300,33,33.99631,-118.47394,Family,,9% Tax Credit
COMMUNITY HOUSE,23710 Community St,Los Angeles,CA,91304-3003,Los Angeles,6037,6037113231,30,34.221423,-118.644127,Disabled,PRAC/811,
LIBERTY VILLAGE,22439 Marlin Pl,Los Angeles,CA,91307-2622,Los Angeles,6037,6037135102,30,34.19688,-118.6172,Disabled,PRAC/811,
VILLAGE ACQUISITION III,23801 Archwood St,Los Angeles,CA,91307-3004,Los Angeles,6037,6037135203,30,34.19176,-118.64522,Disabled,PRAC/811,
ROSCOE APARTMENTS,20234 Roscoe Blvd,Los Angeles,CA,91306-1679,Los Angeles,6037,6037134103,30,34.22005,-118.57425,Family,,9% Tax Credit
RUNNYMEDE SPRINGS,20422 Cohasset St,Los Angeles,CA,91306-3058,Los Angeles,6037,6037134710,30,34.20702,-118.57716,Family,,9% Tax Credit
WINNETKA SENIOR APARTMENTS,20750 Sherman Way Unit 128,Los Angeles,CA,91306-3782,Los Angeles,6037,6037134002,30,34.200501,-118.585575,Elderly or disabled,,4% Tax Credit
RANCHO DEL VALLE,6560 Winnetka Ave,Los Angeles,CA,91367-2700,Los Angeles,6037,6037134901,30,34.189977,-118.569889,Disabled,202/8 NC,
OWENSMOUTH GARDENS,6300 Owensmouth Ave,Los Angeles,CA,91367-2361,Los Angeles,6037,6037135114,30,34.18449,-118.60143,Elderly,Sec 8 NC,
PALMDALE DESERT CLUB APARTMENTS,37902 20th St E,Palmdale,CA,93550-5454,Los Angeles,6037,6037910603,25,34.571094,-118.09383,Family,Sec 8 NC,
DESERT VIEW APARTMENTS,38633 10th St E,Palmdale,CA,93550-3885,Los Angeles,6037,6037910501,25,34.585228,-118.112964,Family,Sec 8 NC,
PALMDALE APARTMENTS,38002 15th St E,Palmdale,CA,93550-5171,Los Angeles,6037,6037910502,25,34.5734,-118.10223,Family,LMSA,
VILLAGE GARDENS,1020 E Avenue R,Palmdale,CA,93550-1951,Los Angeles,6037,6037910504,25,34.571903,-118.110566,Family,Sec 8 NC,
PALMDALE GARDENS APARTMENTS,38601 10th St E,Palmdale,CA,93550-3806,Los Angeles,6037,6037910501,25,34.5844,-118.11294,Elderly,Sec 8 NC,
STANRIDGE HOMES #3,38940 Stanridge Ave,Palmdale,CA,93550-3243,Los Angeles,6037,6037910201,25,34.590071,-118.126121,Family,Sec 8 NC,
STANRIDGE HOMES #2,38905 Stanridge Ave,Palmdale,CA,93550-3242,Los Angeles,6037,6037910201,25,34.58973,-118.12676,Family,Sec 8 NC,
STANRIDGE HOMES #1,38941 Stanridge Ave,Palmdale,CA,93550-3242,Los Angeles,6037,6037910201,25,34.58973,-118.12676,Family,Sec 8 NC,
EAST 35TH STREET APARTMENTS,37929 35th St E,Palmdale,CA,93550-5659,Los Angeles,6037,6037910605,25,34.57196,-118.06768,Family,Sec 8 NC,
